ID.x;latitude;longitude;study;site;SiteBlock;replicate;treatment.direction;treatment.level;grouping.x;treat.duration.y;duration_rescale;size.local;size.gamma;N.replicates;delta.T;delta.T1_rescale;T_warm_chelsa;T_warm_rescale;LRR_S;LRR_SPie;LRR_betaSn;LRR_betaSPie;beta.sim;beta.sne;beta.bray.bal;beta.bray.gra
Henry_unpubl.csv;79.164;-75.255;ITEX_11;ALEXFIORD_WILLOW;ALEXFIORD_WILLOW - A;6;T;1;"1996_Henry_unpubl;ALEXFIORD_WILLOW;T;T;1;1996;2";3;-0.485410828;1;10;10;1.3;-0.288300279;1.95;-0.680722188;0.510825624;0.1539789;-0.295980875;-0.256910753;0;0.25;0.634897361;4.05E-17
Henry_unpubl.csv;79.164;-75.255;ITEX_11;ALEXFIORD_WILLOW;ALEXFIORD_WILLOW - A;7;T;1;"1996_Henry_unpubl;ALEXFIORD_WILLOW;T;T;1;1996;2";3;-0.485410828;1;10;10;1.3;-0.288300279;1.95;-0.680722188;0.356674944;0.842962966;-0.141830195;-0.945894818;0.142857143;0.151260504;0.381520119;3.09E-10
Henry_unpubl.csv;79.164;-75.255;ITEX_11;ALEXFIORD_WILLOW;ALEXFIORD_WILLOW - A;8;T;1;"1996_Henry_unpubl;ALEXFIORD_WILLOW;T;T;1;1996;2";3;-0.485410828;1;10;10;1.3;-0.288300279;1.95;-0.680722188;0.405465108;0.559526408;-0.19062036;-0.66245826;0.166666667;0.166666667;0.229700854;3.85E-10
Henry_unpubl.csv;79.164;-75.255;ITEX_11;ALEXFIORD_WILLOW;ALEXFIORD_WILLOW - A;9;T;1;"1996_Henry_unpubl;ALEXFIORD_WILLOW;T;T;1;1996;2";3;-0.485410828;1;10;10;1.3;-0.288300279;1.95;-0.680722188;0.133531393;-0.125361154;0.081313356;0.022429302;0.428571429;0.038095238;0.36778846;3.16E-10
Chapin_1995.csv;68.62;-149.61;Arctic_LTER;MAT;MAT - A;1;T;1;"1999_Chapin_1995;MAT;T;T;1;1999;2";10;-0.063436361;0.16;1.28;8;5;1.150093336;8.65;-0.004489052;-0.223143551;-0.455953675;0.098580829;0.406869724;0;0.111111111;0.384159049;6.16E-10
Chapin_1995.csv;68.62;-149.61;Arctic_LTER;MAT;MAT - A;2;T;1;"1999_Chapin_1995;MAT;T;T;1;1999;2";10;-0.063436361;0.16;1.28;8;5;1.150093336;8.65;-0.004489052;-0.318453731;-0.391319626;0.193891008;0.342235675;0;0.157894737;0.253012048;7.47E-10
Chapin_1995.csv;68.62;-149.61;Arctic_LTER;MAT;MAT - A;3;T;1;"1999_Chapin_1995;MAT;T;T;1;1999;2";10;-0.063436361;0.16;1.28;8;5;1.150093336;8.65;-0.004489052;-0.105360516;-0.025383408;-0.019202207;-0.023700542;0;0.052631579;0.259768572;7.40E-10
Chapin_1995.csv;68.62;-149.61;Arctic_LTER;MAT;MAT - A;4;T;1;"1999_Chapin_1995;MAT;T;T;1;1999;2";10;-0.063436361;0.16;1.28;8;5;1.150093336;8.65;-0.004489052;-0.200670695;0.033086008;0.076107973;-0.082169959;0;0.1;0.205100576;0
Chapin_1995.csv;68.62;-149.61;Arctic_LTER;MAT;MAT - A;5;T;1;"1999_Chapin_1995;MAT;T;T;1;1999;2";10;-0.063436361;0.16;1.28;8;5;1.150093336;8.65;-0.004489052;-0.510825624;-0.567467095;0.386262901;0.518383144;0;0.25;0.26854067;3.66E-10
Chapin_1995.csv;68.62;-149.61;Arctic_LTER;MAT;MAT - A;6;T;1;"1999_Chapin_1995;MAT;T;T;1;1999;2";10;-0.063436361;0.16;1.28;8;5;1.150093336;8.65;-0.004489052;-0.117783036;-0.037135412;-0.006779687;-0.011948538;0;0.058823529;0.359795321;3.20E-10
